source_row,text_sha256,label,split,near_duplicate_group
2,1544579c2b376690aeb6860dfb79d45ea8aaca0fb2aaac923417c5e418a12e1e,LEGITIMATE,test,0
3,8faecac5695bfe7cd46a9639b67ab6dbc523adfce6d106291c28a05f855512bb,LEGITIMATE,validation,1
4,03c11c972da8d47a481723b1c888d0dbfab9e3aa5e35f987bedb8b8ec9214617,LEGITIMATE,test,2
5,017bd1a26170b77c3c1ac8fff3162b1bba027dbf243b874871b6eec3142507e9,LEGITIMATE,train,3
6,fa1c6e1d9ea27a1955333bc2fb4a7309404b9d4efb099707b551c00562664b1d,SCAM,train,4
7,ea7e7156585c40306ac7b1898dcc70c417eecd8c7667be9df2d4e02c6b2324d8,SCAM,train,5
8,efb03a1f9ab96da8538cb378bb950d435b74b8fb59e01bba821ea54eae98aa09,LEGITIMATE,train,6
9,b92bff075102be2f40e82cdcca2df7da4c2edf152d0694913097c248331ce9a2,LEGITIMATE,train,7
10,4111088e28dc029d8a1ea4496bd2e2c69989b062d4545d317b94d42e07f5aa69,LEGITIMATE,train,8
11,6cedffa2398bc71ffe0cecf263a091d20ce30ab14609f52b7b111d40060b04e3,LEGITIMATE,train,9
12,17a9f320abfa4fa14a3d304185ad1e1072cbbb8c75f4d45cc5ef64dfc0861971,LEGITIMATE,test,10
13,391c81cb55f728bb616f29fd550e0431de19087e783524808df2cd579b2c9aa1,LEGITIMATE,train,11
14,dc6ded94625ea224bc66ebd2bc29fefdb21fa6230dedfe533fb9c2ea78cb3b0e,LEGITIMATE,validation,12
15,70d71a6fc0cb87a459ad05bf987e7ce49d81e89fe4ddd4e8214851ab68708009,LEGITIMATE,train,13
16,c03b22928172f4c672f5b85cdf587110a84fc322472fe6bce6b2c5e938b61e06,LEGITIMATE,validation,14
17,251462c3ebbff297a2548f3ca221d50c7894a9976fc276812fd747d1c635eb0c,LEGITIMATE,validation,15
18,177e1a317ecad853a9ecdf23e95ecf04a1641a9284ec4d43978c42d466a20903,LEGITIMATE,train,16
19,bac36f75b74b34129a7293e6ce335cbc03c6be3781e605443746dfae5cd8bb07,LEGITIMATE,train,17
20,7dc72805b86ab4f5105fd0b478d901cb93daa1df1855de6d162629d0918a807b,LEGITIMATE,train,18
21,f10dadc5d11d829089bc5c85aed44b7b0b336c93e07901dd2682204337bab73c,LEGITIMATE,train,19
22,c7eb5a29cf2b80630c21c67a4c664719fa678d3db31615c0ff40e1444da519b9,LEGITIMATE,validation,20
23,917504f991d7381e89d15a0057bb0940181c0f6e5ac5f3288d99f320843cd819,LEGITIMATE,test,21
24,68d55ef68346a08206556e37c56cf704f660bdf9cc4a9356c7bafde62129cc67,LEGITIMATE,train,22
25,6615437719d0c25c894ab27e87db5194919ccd69eb1d9e118f0e6d6e7e0d7acf,SPAM,test,23
26,022c741642f5870343b967d898b7a9c41807b21b69010523c333ba4583b589ca,LEGITIMATE,validation,24
27,24887d6a8ed149b1601e7435033e06dd07008851fee3d599b7336a556cfc9125,LEGITIMATE,train,25
28,77d251772bd67d39515dae0a6f67ec7787794a1a2e38c29b9a02d4ded5c5c5c7,SCAM,test,26
29,8b1c29af701310ac0d9cfb825c1a3305207594a901370728223c071b3fb94b91,SPAM,train,27
30,4b0e2d351cfd5624f31e60c6748fb3d5b8a576444e3c60d07178a5bfcc832214,LEGITIMATE,train,28
31,45881f6a48c73885c660098dd6b0d9903157fd5de08cc4c77c7b8c48e4324ace,LEGITIMATE,train,29
32,e5d4c4596e12c23cddde8de604d26cbd21b1d01f1e85ecc70c56d1f90ce90b91,LEGITIMATE,train,30
33,c4ed0e5adb53502d403300f886ab5ea52ff8f36d517ba9f3011cdafd479e4728,SPAM,test,31
34,1efe1d1fd21c5868725f9334c746fd8da68c3db23082e76f8a6c20ba340ddec5,LEGITIMATE,test,32
35,791f5128632f20918f9b7c18ad7d01e549d42bc680a8a12a5ccb13dd7ee905d7,LEGITIMATE,train,33
36,df30665b2af2879ba313afd8527036f0b3f4fc6b780bae9fc3a60c9060d2109f,LEGITIMATE,train,34
37,98b6347acdc02556a3cc4cd07c107912331d3ad2921288637d8962e402a394e6,LEGITIMATE,validation,35
38,140269d9ba75c086bc52a632da5bfc783e885cf9fc37443043a014bf5111ac01,LEGITIMATE,train,36
39,6100146b038106ceec2926fc3096c923be74ae68b5f0f14dfb8c8fdd1fc8f4e1,LEGITIMATE,train,37
40,3b59885db74600558a24a70f0005bc8e0e09ee7342eff7d198929c62e239fc34,SCAM,train,38
41,81513f0ee3b1a6118fd0a291ec0d6425f07391efa64e0f4a4a136962f62092c2,SPAM,test,39
42,60d743bcbe571260fd769582a5789e76ec237a5b73d790f2fa6bd0a25bf7781f,LEGITIMATE,train,40
43,4f99f8ce9ec61c4b175c1cd2fce52f3bf8c0e4fe0d80cc2348f7cbc23060a61c,LEGITIMATE,test,41
44,10daecfd2f2b874f3e12dacc72226e05c0990b35ef8f5787e936393bfe614ce0,SCAM,train,42
45,a327372bf8b7d274acbfda6710c1667beb37a38dda1cb9316b8c621b711096ec,LEGITIMATE,test,43
46,36252abc943698cb7c36da0544dc6451215c1d2ddcc75b1759fde549ce806986,LEGITIMATE,train,44
47,0f37c6523256184bf6746b28b7b1ecf39b4488b9a72bbcdd810a5c486adcc910,LEGITIMATE,train,45
48,ddca5a4bdcea17a542d26ff56df14f2bdf4f97b13f3d6ddfa9ab31f98e47ea5c,LEGITIMATE,train,46
49,e7b915dbfa15846184da2bdffb4bad94c03ba6fff35f82dfbedd06387cca13f3,LEGITIMATE,train,47
50,9f5dd4bff0500523c36da3da63ac85a164e0f9286da01f0a7d8a2a3bd5d07422,SCAM,validation,48
51,a219f5e07ac547e530029dc014ff711fe16eede0fe7b6f98ee61be5749b8e316,LEGITIMATE,train,49
52,8ece07188bd5e4de417510167467bde85060c29918f2ab59c0b87c5367fbf64b,LEGITIMATE,train,50
53,f986de2c253fb6c563544327993d11098f9c872c1213e1c795e1661a082b8ada,LEGITIMATE,test,51
54,9ba0bfd3857c18445413d7b431e0085a8ae387dbcee8a57bc914478eb573f6b8,LEGITIMATE,train,52
55,d16c67ad8081ed049d53e4b6ecf81424efc42156591e6966892def6bc66d03bc,LEGITIMATE,train,53
56,d338f709369f2430671c4f0c591b67ca4757eb0b88a0a046f5f144f741d24dfb,SCAM,train,54
57,ffef3236690a76b07b1ecf2f56548734780eb5e33a1f696ecccc9c9762b9d658,LEGITIMATE,train,55
58,66c78c12e003ad8d1af78480ac83cecbd66daa513bc2c3d74f62aed858ba35d0,LEGITIMATE,validation,56
59,5d3f2aedb3a7baca3675fc09d87008a9b100c0e0415560de03d380b67bb6fc93,LEGITIMATE,test,57
60,789056c904ae36c5c41aeecc685ff05d8e8d9c0e67f66c7cea7a4fea269da53f,SPAM,test,58
61,837c5d1f98726a1164e9561ce80200ea34c1c1e8434eb0570a605af1bb2b25f8,LEGITIMATE,train,59
62,4fc5646ed0a27dc2e9bcf57d31b675db33f38521127718cbd76159cc6d1d7752,LEGITIMATE,validation,60
63,24c0b66e75dc687e445ca33f2b96d7b894492794e67e1e4965587ec71f439f1f,LEGITIMATE,train,61
64,fd7f3e25fc03dffee1594de21cc09d6a46f42bde11e868780293232a18198a4f,LEGITIMATE,train,62
65,58c85ff1127e00d1070bd6b335a2cc04d3290c0febb131419e2cc5e11c1456c7,LEGITIMATE,train,63
66,dfc0dd98550ad8b217cc4e7db31cc3e88f0076bfa8a3a9a0416bf96b88fac98a,LEGITIMATE,validation,64
67,3511cebe9b3b902f53404c61d0557e5aad875449c1e1096fcec0887fa5e9f937,LEGITIMATE,train,65
68,ab5e2f9fed1503b5015dc29c0add7c88b441bacf81063943d1118b540e580da7,LEGITIMATE,validation,66
70,af318724a5ce4da327ff757c095978f8d5df168c9a10c732cc724101fa1d31b4,LEGITIMATE,train,67
71,febad734f61e37ca54bb4ebea9d64c738587f55f38756d46aa56d013353d792a,LEGITIMATE,test,68
72,33364b31328981094c2711a4a7196b28ebe69aeac023db2f49fff174ab14500b,SCAM,train,69
73,da950422866867662c8179f6e94dbfbfc1a785cb26e4ecd57a32b2563269ba8f,LEGITIMATE,train,70
74,519d821b3d78d5fbe0d58e0cc10a3de11c190a6242825612646923413d20bf49,LEGITIMATE,train,71
75,7397f5d5962eb0120090fee582a1066473063f2f399f0756cfcf021d15a4f702,SCAM,validation,72
76,8d317f9c8d96ed89a6e7f434351e0a38f5738ab4efed786be77ae795103381fa,LEGITIMATE,test,73
77,b3b1e7456363a66c8ef4c67d86f9bfa5c72c387d17983924322848cc0b4fe2a8,LEGITIMATE,train,74
78,1b77a1044efd16c75a3e73caf75e010f09cf626139683fc15635fbe4fd072689,LEGITIMATE,train,75
79,e0172af4ec1a28757c9cbea7a81b5e7fef4e35cf66423f702d068c326a77d665,LEGITIMATE,train,76
80,d9c7442d5438a1ad499ff6c0cf6c481d1b10723b902fd84057ab9785cc25cfd9,LEGITIMATE,test,77
81,b427ce01a3107240925b520cc959dc905dbac2de41324ded2cbcb6c61dc6d485,LEGITIMATE,train,78
82,ecc7361c488d2e84fbb135270598320eb5cc2fe37bb9de7990c3e558746e2736,LEGITIMATE,test,79
83,be3e4ce187f5c79dc1780da19d10f13519eecd70d90e34b43b644d19d7ec4ea4,LEGITIMATE,test,80
84,639cca9d9cdc35c9b8886c63723c4e69fcfc82e462133d1af990d393c3fa6ff2,LEGITIMATE,train,81
85,fc3f06a3b8958b66483e3fd230330ac35a6cc75fa18114320925915bd8ec4ed8,SPAM,train,82
86,d6bb37863c46af4f5c657bcc49562df3ed369fb080242f50b093ccd0264f4150,LEGITIMATE,test,83
87,83244716a0704177d44d1ef6133567394e37bd5180d0ce73ce1e6b032e6d239e,LEGITIMATE,train,84
88,2bb735b4f606f24ef93f50662b8758194927189e9dbc56a40dc19118e80f7faf,SPAM,test,85
89,568ac9c4db5b7fc5ccbd9bdd677e589b729e6a967195ff403252bce6c2dbc0f0,LEGITIMATE,train,86
90,ccf69b71397fe12d305df402bb9a30fb4375ec419030c8c5618a39da17fbc349,LEGITIMATE,train,87
91,c3c5db4c79fafb129578d0e9a761bd05fbd7a4ce29a87e18daa74c86a5dae367,SPAM,train,88
92,fb653e66491720c8502bc87e1bc839be534cb2e35629d987d8896fd00c78f140,LEGITIMATE,validation,89
93,1bd01924d9b88a97ba4707442da6bd8125d9669836fdbffd164411e487fb2159,LEGITIMATE,test,90
94,7414622b1cda1cda7b67cd25c0f7a21b3a2c162dac7440831acc0ec232649c29,SCAM,train,91
95,f556695d2f334ef40edc8d437eda146f388ca7416c137e553a892bc8186263ac,LEGITIMATE,train,92
96,2a63e4c2a41a46d062da50cc6d85592cd9f72eec1d39b95743edf8e5cb9d93ce,LEGITIMATE,train,93
97,33a8bd727829a911a0b81c38c43d9dc6a8655add3a56445c1169bf002fbec39f,LEGITIMATE,test,94
98,74398b2eaf853154f0610a28ade82e4387bd44124c18c74317af7f5cbfaa1e41,LEGITIMATE,test,95
99,d153bffc0d39e4d2fe3e0762e767a76d30cc36c05cae9bbde3510a56b888763e,SCAM,train,96
100,01d24c6f4c506d19ea8ea4ef98b24216631aad946c68989a6e8b3934a2365117,LEGITIMATE,validation,97
101,5b10c6584dbcaac94540fa38259c5ac7318c38da8dec49718cc4fd7e9df29c9c,LEGITIMATE,test,98
102,8c1b770ae63ee477fc7d379fb0517732786011074d23d5150db7488e914bbeee,LEGITIMATE,test,99
103,62ec1186a9edaac6d10b38829ef41cd031360985131866e629431cf641e32e39,LEGITIMATE,train,100
104,6b0ddee4463b7d6dc6f0add80340b053b8d2853606011ede59806e84d845197d,LEGITIMATE,train,101
105,da0e7ae0ccc12c770f00665008b58067909c3c27aa97f9a22c959b827e25d971,LEGITIMATE,validation,102
106,6f1aa41b2f7a58ca602d76236620285ccc281f586f583e3d9cd4840200c9d4e0,LEGITIMATE,validation,103
107,99f337f26e094cd31b9cd75aaca55144f5497c43bdab45e30e732fdd1719172e,SPAM,test,104
